rank,song,artist
1,멍청이(twit),화사(Hwa Sa)
2,달라달라,ITZY (있지)
3,오롯이,헤이즈(HEIZE)
4,이 노래가 클럽에서 나온다면,우디(Woody)
5,벌써 12시,청하
6,이별을 걷다 (A Walk To Goodbye),황치열
7,오랜만이야 (Feat. Zion.T),로꼬
8,7 rings,Ariana Grande(아리아나 그란데)
9,신청곡 (Feat. SUGA of BTS),이소라
10,넘쳐흘러,엠씨더맥스(M.C THE MAX)
11,띵 (Prod. By 기리보이),Jvcki Wai
12,초록빛,폴킴(Paul Kim)
13,너도 그냥 날 놓아주면 돼,윤건
14,SOLO,제니 (JENNIE)
15,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
16,180도,벤
17,신용재,하은(라코스테남)
18,해야 (Sunrise),여자친구(GFRIEND)
19,MILLIONS,WINNER
20,너를 만나,폴킴(Paul Kim)
21,그때가 좋았어,케이시
22,YES or YES,TWICE (트와이스)
23,WANT,태민 (TAEMIN)
24,We all lie,하진
25,No Question,매드 클라운(Mad Clown)
26,아낙네,MINO(송민호)
27,"thank u, next",Ariana Grande(아리아나 그란데)
28,Way Back Home,숀(SHAUN)
29,습관 (Bad Habits),숀(SHAUN)
30,%%(응응),Apink (에이핑크)
31,"길 (Song by 아이유, 헨리, 조현아, 양다일)",지오디(god)
32,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia(시아)
33,삐삐,아이유(IU)
34,i'm so tired...,Lauv(라우브)
35,사랑 알 수 없나봐,폴킴(Paul Kim)
36,내 생에 아름다운,케이윌
37,사계 (하루살이),엠씨더맥스(M.C THE MAX)
38,첫눈에,헤이즈(HEIZE)
39,"행성 (This Night) (Feat. Blue.D, Jhnovr)",그루비룸 (GroovyRoom)
40,너는 어땠을까,노을
41,열애중,벤
42,그대가 내 안에 박혔다,황치열
43,라비앙로즈 (La Vie en Rose),IZ*ONE(아이즈원)
44,고백,양다일
45,아름답고도 아프구나,비투비
46,밤편지,아이유(IU)
47,비,폴킴(Paul Kim)
48,가을 타나 봐,바이브(Vibe)
49,IDOL,방탄소년단
50,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK
51,미안해,양다일
52,알았다면,장덕철
53,이별하러 가는 길,임한별
54,Love Shot,EXO
55,Dancing With A Stranger,Sam Smith(샘 스미스)
56,Heu ! (Full Ver.),수퍼비
57,지나오다,닐로(Nil_O)
58,Dance The Night Away,TWICE (트와이스)
59,흔한 이별,허각
60,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1
61,여행,볼빨간사춘기
62,Bohemian Rhapsody,Queen(퀸)
63,Home,세븐틴(Seventeen)
64,나는 볼 수 없던 이야기,잔나비
65,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone(포스트 말론)
66,행복,오반
67,그 남자를 떠나,지오디(god)
68,하루도 그대를 사랑하지 않은 적이 없었다,임창정
69,RBB (Really Bad Boy),Red Velvet (레드벨벳)
70,Paris In The Rain,Lauv(라우브)
71,flex (Prod. By 기리보이),기리보이
72,선물,멜로망스(MeloMance)
73,그때 헤어지면 돼,로이킴
74,시간이 들겠지 (Feat. Colde),로꼬
75,명동콜링,"카더가든(Car, the garden)"
76,Forever Young,BLACKPINK
77,Wind flower,마마무(Mamamoo)
78,Roller Coaster,청하
79,보라빛 향기,벤
80,섬 (Queen of Diamonds),검정치마
81,사이렌(Siren),선미
82,잘 지내요,정승환
83,CLOCK,인피니트(Infinite)
84,이 밤이 특별해진 건,어반 자카파(Urban Zakapa)
85,첫눈처럼 너에게 가겠다,에일리(Ailee)
86,북향 (Feat. 오혁),다이나믹듀오
87,Done For Me,Charlie Puth(찰리 푸스)
88,Make it count,첸 (CHEN)
89,Cold (Feat. 한해),키(KEY)
90,봄날,방탄소년단
91,알러뷰,EXID
92,POP/STARS,(여자)아이들
93,우리 그만하자,로이킴
94,My Trouble,볼빨간사춘기
95,I'm Here,양다일
96,엉켜 (Feat. pH-1),로꼬
97,needy,Ariana Grande(아리아나 그란데)
98,꿈처럼 내린,다비치
99,틀린질문,검정치마
100,Tempo,EXO
